185,2241
51,1088
33,1015
208,1983
278,1047
309,1328
137,1946
318,2179
400,2834
256,2425
10,1049
100,2950
152,2193
216,1671
14,1283
324,2865
498,2006
299,2397
370,2670
257,2611
365,1945
390,1091
464,2005
137,1013
481,2784
112,2689
311,1163
36,2287
457,1968
30,2269
249,1978
316,1294
130,1965
298,1729
470,1029
439,1529
399,1206
479,1270
272,2519
34,1179
57,2961
300,2252
416,2206
289,2134
441,1348
134,2665
438,2127
312,2953
373,1491
95,1997
380,1828
276,2387
320,1936
427,2267
194,1595
171,2665
224,2819
477,1769
33,1169
90,1876
118,2873
376,2428
391,2764
93,1212
225,2612
306,2511
64,1698
251,2451
473,1486
110,1623
92,1874
166,2912
303,1209
93,2796
296,2178
412,2197
308,1359
17,2939
254,2311
12,2530
191,1863
355,1226
84,2766
197,2760
367,1399
146,1329
194,1561
69,2292
352,1174
365,2590
333,2383
306,1440
359,1840
346,2048
413,2478
119,1415
209,2378
432,1336
79,1334
345,1329
120,2426
459,1696
98,1045
366,1360
127,1342
123,2694
423,1957
356,2979
466,2368
313,2887
170,1879
77,2182
467,1293
231,2290
278,2880
268,1910
255,2948
124,1635
167,1507
12,2435
66,1354
491,2918
206,2582
258,1145
130,1888
180,2158
418,1860
370,2050
70,2747
119,1993
346,1484
488,2748
342,2320
42,1818
202,1895
190,2630
415,1332
198,2458
346,1232
223,2813
462,1957
349,1198
478,1811
340,2743
295,1258
108,1164
404,1516
120,1510
137,1244
250,1065
252,2855
88,2806
288,1828
454,1825
20,2213
184,2924
48,1231
493,1532
10,1019
146,1705
495,1694
435,1323
466,1617
133,1425
122,1995
122,2047
308,2912
129,1480
465,2961
241,1795
175,1039
35,2742
365,2815
97,1323
152,1044
19,2269
336,2866
331,2486
319,1703
45,2069
258,2033
61,1512
133,1207
405,2852
23,2021
482,2875
469,1275
166,1474
447,1567
426,1338
40,2261
281,2824
253,1004
198,2919
42,1912
236,2551
76,2419
213,1860
19,2760
269,2852
426,2168
24,1871
233,1186
118,1699
453,1989
32,1606
70,1238
379,2276
482,2665
135,2728
119,2260
325,1420
294,2218
10,1592
26,1954
391,1896
491,1541
234,1568
73,2537
156,2665
417,1238
444,2577
363,1370
69,2118
323,2987
400,2222
466,1109
212,2449
107,2860
346,2163
145,1540
266,1108
58,2901
456,2021
351,2479
329,1449
236,1237
212,1274
219,2386
75,1491
458,1148
330,1999
51,2797
152,1392
85,2867
205,2180
473,2968
444,2845
280,2371
112,1529
365,1592
483,1252
381,2096
352,1244
353,1941
358,2448
204,2222
146,2625
174,1552
284,1006
219,1713
473,1102
487,1648
251,1824
407,2582
127,1425
163,1267
431,2233
454,1203
354,2958
293,2506
250,1524
220,2064
19,2737
205,2105
42,1517
131,2318
464,2316
259,2059
245,2575
190,1905
185,2163
187,2795
357,2149
341,2050
186,1966
297,2513
68,2430
184,1574
104,2139
465,2284
253,1255
121,2103
399,1388
336,1644
482,2880
289,1668
30,2153
22,1861
370,1318
456,2646
234,2158
37,1212
473,2693
33,2680
197,1018
90,2729
272,1009
317,2633
331,2695
131,2898
301,1716
36,2250
238,1131
220,2229
182,1018
15,2137
29,1481
70,2810
357,1479
257,2850
258,2108
11,1964
387,1811
130,2133
277,2363
403,2104
214,2243
52,1340
319,2411
412,2340
170,2536
43,2969
480,1962
297,1873
62,1360
426,1877
469,2867
390,1694
340,1240
418,2948
193,1500
414,1682
382,1604
327,2112
185,2460
490,2810
183,1803
401,2166
342,2995
329,1768
459,2175
360,2197
474,2739
474,1112
275,1621
456,2719
108,2449
203,1216
244,1745
221,2860
158,1903
299,1879
121,1007
12,2097
168,2596
278,1107
42,1656
140,2401
412,2752
341,2849
111,2820
270,2365
432,2131
43,1738
192,1195
281,2285
279,1582
453,1932
471,2656
474,1644
225,2795
479,2768
323,2209
219,1852
51,1827
156,1078
248,2730
371,1815
268,2126
101,2965
313,1112
408,2761
49,1160
162,2619
274,1505
293,2919
102,1204
212,2279
343,2604
104,2212
231,1782
210,2163
351,2910
294,2693
433,2906
193,1390
239,1114
387,1259
280,2102
479,2076
369,2957
408,2306
100,1908
252,2614
304,2305
306,2362
420,1925
471,1055
157,1836
77,1024
61,2019
223,1772
196,2268
102,1261
445,1280
129,1268
292,2805
278,1025
120,1784
11,1956
361,1806
148,2973
272,1948
407,2918
71,1485
57,2672
129,1439
350,1830
19,2124
243,1526
281,2306
147,2143
15,2605
70,2208
306,2501
73,2582
449,2272
199,2316
486,2062
335,1988
61,2476
113,2470
39,2083
498,2646
333,2478
241,2488
97,2125
45,2446
212,2386
296,2350
361,2789
165,1669
166,2971
80,1442
432,2107
382,2757
22,2732
101,1890
17,1907
414,1403
125,2325
271,2053
161,1822
283,1162
66,1339
423,1128
300,1566
490,2899
176,1508
23,1076
37,1149
220,2247
296,2274
196,1055
180,2282
350,1912
241,2217
224,2897
443,2945
350,1336
324,2202
79,1109
268,2682
200,2035
312,1275
236,2302
157,1704
257,2950
348,1553
