Article1,0,118
Article2,1,2853
Article3,0,70
Article4,0,1603
Article5,0,845
Article6,1,2998
Article7,0,1010
Article8,1,1043
Article9,0,1463
Article10,0,1639
Article11,0,401
Article12,0,823
Article13,1,588
Article14,0,1414
Article15,0,2685
Article16,0,483
Article17,0,1162
Article18,0,582
Article19,0,280
Article20,0,2252
Article21,0,1773
Article22,0,1292
Article23,0,2964
Article24,0,1124
Article25,0,170
Article26,0,1634
Article27,0,661
Article28,1,181
Article29,0,1833
Article30,0,2918
Article31,0,258
Article32,0,882
Article33,0,1321
Article34,0,908
Article35,0,1346
Article36,0,932
Article37,1,2896
Article38,0,2756
Article39,0,655
Article40,0,1423
Article41,0,2867
Article42,0,429
Article43,1,602
Article44,0,2948
Article45,0,250
Article46,0,1195
Article47,0,2556
Article48,0,2675
Article49,0,2138
Article50,0,103
Article51,0,1798
Article52,0,1236
Article53,0,1057
Article54,0,128
Article55,0,2534
Article56,0,1833
Article57,0,792
Article58,0,745
Article59,0,996
Article60,0,2012
Article61,0,2528
Article62,1,926
Article63,0,1416
Article64,1,1843
Article65,0,1678
Article66,0,1538
Article67,0,2174
Article68,0,2645
Article69,0,1808
Article70,0,2028
Article71,0,1304
Article72,0,955
Article73,0,1963
Article74,0,708
Article75,0,2727
Article76,0,779
Article77,0,1534
Article78,0,1846
Article79,0,1807
Article80,0,2259
Article81,1,734
Article82,0,1786
Article83,0,2936
Article84,0,2407
Article85,0,2356
Article86,0,1371
Article87,0,1404
Article88,0,2449
Article89,0,97
Article90,0,1095
Article91,0,514
Article92,0,514
Article93,0,2408
Article94,0,1745
Article95,0,1765
Article96,0,343
Article97,0,279
Article98,0,426
Article99,0,2369
Article100,1,2698
Article101,0,1621
Article102,0,1303
Article103,0,248
Article104,0,1020
Article105,0,620
Article106,0,2872
Article107,0,2006
Article108,0,2204
Article109,0,2987
Article110,1,2053
Article111,1,826
Article112,0,44
Article113,0,933
Article114,0,135
Article115,0,147
Article116,1,1005
Article117,0,2353
Article118,0,336
Article119,1,2177
Article120,0,1971
Article121,0,1451
Article122,0,1030
Article123,0,1440
Article124,0,1367
Article125,1,442
Article126,0,986
Article127,1,1955
Article128,1,502
Article129,0,20
Article130,0,661
Article131,0,1205
Article132,0,131
Article133,0,2708
Article134,0,870
Article135,0,1267
Article136,0,1049
Article137,0,908
Article138,0,620
Article139,0,896
Article140,0,18
Article141,0,2282
Article142,0,1434
Article143,0,2848
Article144,0,1691
Article145,0,442
Article146,0,1625
Article147,0,2296
Article148,0,130
Article149,0,1746
Article150,0,1247
Article151,0,136
Article152,0,342
Article153,0,2026
Article154,0,1072
Article155,0,119
Article156,0,2113
Article157,0,2733
Article158,0,1409
Article159,0,1220
Article160,1,2873
Article161,0,55
Article162,0,1191
Article163,0,2159
Article164,0,833
Article165,0,365
Article166,0,952
Article167,0,2710
Article168,0,319
